CodigoEstacion,CodigoSensor,FechaObservacion,ValorObservado,NombreEstacion,Departamento,Municipio,ZonaHidrografica,Latitud,Longitud,DescripcionSensor,UnidadMedida
0021205512,0068,01/06/2022 09:40:00 AM,10.59,EL SOCHE  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.469,-74.079,Temp Aire 2 m,°C
0021205512,0068,01/06/2022 12:10:00 PM,13.301,EL SOCHE  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.469,-74.079,Temp Aire 2 m,°C
0021205509,0068,01/06/2022 08:50:00 AM,9.433,EL DESTINO  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.397,-74.628,Temp Aire 2 m,°C
0021205512,0068,01/06/2022 12:00:00 AM,9.174,EL SOCHE  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.469,-74.079,Temp Aire 2 m,°C
0035025502,0068,01/06/2022 12:40:00 AM,8.201,LA ESMERALDA-  - AUT,BOGOTA,"BOGOTA, D.C",META,4.56,-74,Temp Aire 2 m,°C
0021205512,0068,01/06/2022 04:50:00 PM,9.811,EL SOCHE  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.469,-74.079,Temp Aire 2 m,°C
0021205512,0068,01/06/2022 08:40:00 PM,8.193,EL SOCHE  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.469,-74.079,Temp Aire 2 m,°C
0021205512,0068,01/06/2022 08:30:00 AM,9.308,EL SOCHE  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.469,-74.079,Temp Aire 2 m,°C
0021205509,0068,01/06/2022 06:00:00 AM,5.945,EL DESTINO  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.397,-74.628,Temp Aire 2 m,°C
0035025502,0068,01/06/2022 08:50:00 PM,6.297,LA ESMERALDA-  - AUT,BOGOTA,"BOGOTA, D.C",META,4.56,-74,Temp Aire 2 m,°C
0035025502,0068,01/06/2022 08:00:00 PM,5.263,LA ESMERALDA-  - AUT,BOGOTA,"BOGOTA, D.C",META,4.56,-74,Temp Aire 2 m,°C
0021205512,0068,01/06/2022 05:30:00 PM,8.997,EL SOCHE  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.469,-74.079,Temp Aire 2 m,°C
0021205512,0068,01/06/2022 03:40:00 PM,11.955,EL SOCHE  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.469,-74.079,Temp Aire 2 m,°C
0021205509,0068,01/06/2022 09:30:00 AM,10.331,EL DESTINO  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.397,-74.628,Temp Aire 2 m,°C
0035025502,0068,01/06/2022 02:50:00 PM,11.482,LA ESMERALDA-  - AUT,BOGOTA,"BOGOTA, D.C",META,4.56,-74,Temp Aire 2 m,°C
0035025502,0068,01/06/2022 04:10:00 PM,10.16,LA ESMERALDA-  - AUT,BOGOTA,"BOGOTA, D.C",META,4.56,-74,Temp Aire 2 m,°C
0021205512,0068,01/06/2022 05:00:00 AM,8.437,EL SOCHE  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.469,-74.079,Temp Aire 2 m,°C
0021205512,0068,01/06/2022 10:40:00 PM,7.203,EL SOCHE  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.469,-74.079,Temp Aire 2 m,°C
0035025502,0068,01/06/2022 07:30:00 AM,7.764,LA ESMERALDA-  - AUT,BOGOTA,"BOGOTA, D.C",META,4.56,-74,Temp Aire 2 m,°C
0035025502,0068,01/06/2022 06:20:00 AM,6.706,LA ESMERALDA-  - AUT,BOGOTA,"BOGOTA, D.C",META,4.56,-74,Temp Aire 2 m,°C
0021205512,0068,01/06/2022 11:00:00 AM,11.852,EL SOCHE  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.469,-74.079,Temp Aire 2 m,°C
0021205512,0068,01/06/2022 10:30:00 AM,11.836,EL SOCHE  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.469,-74.079,Temp Aire 2 m,°C
0035025502,0068,01/06/2022 11:50:00 AM,12.547,LA ESMERALDA-  - AUT,BOGOTA,"BOGOTA, D.C",META,4.56,-74,Temp Aire 2 m,°C
0021205509,0068,01/06/2022 04:40:00 AM,7.407,EL DESTINO  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.397,-74.628,Temp Aire 2 m,°C
0035025502,0068,01/06/2022 02:00:00 PM,13.085,LA ESMERALDA-  - AUT,BOGOTA,"BOGOTA, D.C",META,4.56,-74,Temp Aire 2 m,°C
0021205512,0068,01/06/2022 01:00:00 PM,13.317,EL SOCHE  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.469,-74.079,Temp Aire 2 m,°C
0035025502,0068,01/06/2022 06:40:00 AM,6.892,LA ESMERALDA-  - AUT,BOGOTA,"BOGOTA, D.C",META,4.56,-74,Temp Aire 2 m,°C
0021205512,0068,01/06/2022 08:20:00 AM,9.099,EL SOCHE  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.469,-74.079,Temp Aire 2 m,°C
0035025502,0068,01/06/2022 10:50:00 PM,6.742,LA ESMERALDA-  - AUT,BOGOTA,"BOGOTA, D.C",META,4.56,-74,Temp Aire 2 m,°C
0021205509,0068,01/06/2022 11:20:00 AM,12.237,EL DESTINO  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.397,-74.628,Temp Aire 2 m,°C
0021205512,0068,01/06/2022 02:10:00 AM,7.753,EL SOCHE  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.469,-74.079,Temp Aire 2 m,°C
0021205512,0068,01/06/2022 11:10:00 PM,6.829,EL SOCHE  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.469,-74.079,Temp Aire 2 m,°C
0021205512,0068,01/06/2022 12:10:00 AM,9.206,EL SOCHE  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.469,-74.079,Temp Aire 2 m,°C
0035025502,0068,01/06/2022 05:50:00 PM,7.035,LA ESMERALDA-  - AUT,BOGOTA,"BOGOTA, D.C",META,4.56,-74,Temp Aire 2 m,°C
0035025502,0068,01/06/2022 09:10:00 PM,6.495,LA ESMERALDA-  - AUT,BOGOTA,"BOGOTA, D.C",META,4.56,-74,Temp Aire 2 m,°C
0021205509,0068,01/06/2022 09:20:00 PM,6.136,EL DESTINO  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.397,-74.628,Temp Aire 2 m,°C
0035025502,0068,01/06/2022 03:30:00 PM,11.071,LA ESMERALDA-  - AUT,BOGOTA,"BOGOTA, D.C",META,4.56,-74,Temp Aire 2 m,°C
0021205512,0068,01/06/2022 04:20:00 AM,8.09,EL SOCHE  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.469,-74.079,Temp Aire 2 m,°C
